section,title,text,owner,priority,status
прием обращений,Регистрация заявки,"Оператор первой линии регистрирует обращение пользователя в системе service desk, проверяет контактные данные, подразделение, категорию и краткое описание проблемы. Если обращение поступило по телефону, оператор фиксирует время звонка и пересказывает проблему в карточке заявки понятным языком.",Первая линия,средний,активно
диагностика,Проверка доступности сервисов,"Перед передачей заявки на вторую линию оператор выполняет базовую диагностику: проверяет доступность корпоративного портала, почтового сервера, VPN и учетной записи пользователя. Результаты диагностики добавляются в комментарий, чтобы следующий специалист не повторял уже выполненные действия.",Первая линия,средний,активно
приоритеты,Критический инцидент,"Критический приоритет назначается, когда недоступна ключевая учетная система, остановлена отгрузка заказов, не работает массовая авторизация или сбой затрагивает несколько подразделений одновременно. Такая заявка требует немедленного уведомления дежурного администратора и руководителя ИТ-службы.",Руководитель смены,высокий,активно
доступы,Изменение прав пользователя,"Запрос на изменение прав доступа должен содержать основание, согласование руководителя, систему, роль и срок действия доступа. Исполнитель проверяет, не нарушает ли новая роль принцип разделения полномочий, и после настройки прикладывает скриншот или номер записи аудита.",Вторая линия,средний,активно
оборудование,Выдача ноутбука сотруднику,"Перед выдачей ноутбука специалист проверяет наличие инвентарного номера, установленного антивируса, шифрования диска, корпоративного профиля и актуальных обновлений. Пользователь подписывает акт приема-передачи, а карточка оборудования связывается с учетной записью сотрудника.",Склад ИТ,низкий,активно
база знаний,Создание статьи по повторяющейся проблеме,"Если однотипный вопрос повторяется чаще трех раз в месяц, исполнитель создает статью базы знаний. В статье указываются симптомы, причина, условия воспроизведения, пошаговое решение, ограничения и дата последней проверки инструкции.",Вторая линия,низкий,активно
закрытие,Подтверждение результата пользователем,"После выполнения работ заявка переводится в статус ожидания подтверждения. Пользователь проверяет результат, отвечает на уведомление или возвращает обращение в работу с уточнением. Если ответа нет в течение трех рабочих дней, заявка закрывается автоматически с указанием правила автозакрытия.",Система service desk,низкий,активно
отчетность,Ежемесячный анализ SLA,"В конце месяца руководитель группы анализирует количество заявок, среднее время реакции, среднее время решения, долю нарушений SLA, распределение по категориям и повторяемость инцидентов. Итоги используются для планирования обучения пользователей и улучшения базы знаний.",Руководитель поддержки,средний,активно
база знаний,Создание статьи по повторяющейся проблеме,"Если однотипный вопрос повторяется чаще трех раз в месяц, исполнитель создает статью базы знаний. В статье указываются симптомы, причина, условия воспроизведения, пошаговое решение, ограничения и дата последней проверки инструкции.",Вторая линия,низкий,активно
база знаний,Создание статьи по повторяющейся проблеме,"Если однотипный вопрос повторяется чаще трех раз в месяц; исполнитель создает статью базы знаний. В статье указываются симптомы, причина, условия воспроизведения, пошаговое решение, ограничения и дата последней проверки инструкции.",Вторая линия,низкий,активно
